id,message,Total_comments,Total_reactions,Total_like,Total_love,Total_haha,Total_wow,Total_sad,Total_angry,Total_likes
71,"In a digital era where a plethora of convenient tools and resources exist to deploy sophisticated machine learning models, we can be forgiven for often assuming that their operation is trivial. This resource helps us remove this false view by masterfully revealing the complexity required for a modern computer vision model to 'see' an entire image.  https://distill.pub/2019/computing-receptive-fields/  #machinelearning #datascience #neuralnetworks",0,9,6,3,0,0,0,0,6
72,Facebook shares new details about how its machine learning ranking system works and the challenges of building a system to personalise the content for more than 2 billion people.  https://tech.fb.com/news-feed-ranking/,0,9,8,1,0,0,0,0,8
73,EXPLORE-AI has been confirmed as the preferred Data Science partner by British water utility Thames Water.  Read more about it here: https://www.techfinancials.co.za/2021/03/25/local-tech-firm-explore-ai-extend-partnership-with-thames-water-uk/  #datascience,0,13,12,1,0,0,0,0,12
74,"There are many different types of Deep Learning Algorithms. Convolutions Neural Networks (CNNs) are mainly used for image processing and object detection.  In this article, you can explore the different layers of a CNN and discover how they work and interact to produce a robust learning model.  https://towardsdatascience.com/a-comprehensive-guide-to-convolutional-neural-networks-the-eli5-way-3bd2b1164a53",0,6,5,1,0,0,0,0,5
75,How about starting the week by learning a new skill? The theme for the week we are going to focus on is Deep Learning.  Kaggle is not only a platform for applying your skills but also one of learning. Start learning Deep Learning skills by doing this Intro to Deep Learning course. This course will use TensorFlow and Keras to build and train neural networks for structured data. It will only take 4 hours.  https://www.kaggle.com/learn/intro-to-deep-learning  #machinelearning #deeplearning #kaggle #datascience #datascience #newskills,0,6,5,1,0,0,0,0,5
76,It's a great time to be a Data Scientist in South Africa. Read this article to find out why.,0,13,11,2,0,0,0,0,11
77,"Visualisation of GPS data is always a bit tricky, and installing the packages can get complicated.  This article will show the simple but effective GPS records visualisation method using Python and Open Street Maps (OSM).  https://towardsdatascience.com/simple-gps-data-visualization-using-python-and-open-street-maps-50f992e9b676  #visualisations #pythoncode #DataAnalytics",0,7,6,1,0,0,0,0,6
78,"One of the Explore Data Science Academy core tenants is that we learn best by doing, coming to grips with complex problems by practically grappling with them.  As a wide resource that can help fuel such an approach to learning, paperswithcode.com aggregates both cutting edge research in multiple scientific fields, along with open source code to help accelerate your exploration of these concepts.  What can you learn through experimentation today?  #machinelearningtraining  #datasciencetraining  #Research",0,12,10,2,0,0,0,0,10
80,"Deep learning is notorious for being an opaque field of study, where the insights behind modelling results can be severely limited. In this article, the authors cast light on a new technique to help make sense of how a convolutional neural network makes its decisions as its learning on a dataset progresses.  https://distill.pub/2020/grand-tour/  #deeplearning #neuralnetworks #datascience",0,6,5,1,0,0,0,0,5
81,"While getting to grips with the basics of Git is a relatively easy process, mastering some of its advanced concepts can be challenging!   We believe in learning by doing within the Explore Data Science Academy, as understanding is strengthened through continual feedback.   This is what makes learngitbranching.js.org a fantastic resource, providing a simple, visual and interactive interface to practice both basic and advanced Git commands.   What are you waiting for? Git going!  https://learngitbranching.js.org/  #git #datascience #gitcommands #learngitbranching",0,3,2,1,0,0,0,0,2
82,Time is running out to RSVP for this event hosted by @matthewbernath   Come and learn more about Data Science and how we teach it.  https://www.meetup.com/Data-Science-Johannesburg/events/276365016/  #datascience #meetup #johannesburg,0,13,11,2,0,0,0,0,11
83,What type of content would you like us to post?  Indicate your answer by commenting with the correct emoji:   📰   Data Science Articles/Blogs 👍 🎥   Data Science Youtube Videos ❤️ 📝  Data Science Cheat Sheets 🥰 🗳  Other - Make a Suggestion 😆,4,10,5,5,0,0,0,0,5
84,"Come listen to a talk by one of our Chief Explorers. He will focus on our philosophy, what we teach and how we teach it.  Follow the link to RSVP for the Meetup.",0,10,7,3,0,0,0,0,7
85,Go to our website for more information on our upcoming courses.  https://explore-datascience.net/about-us/our-courses#step-1  #datascience #MachineLearning #learninganddevelopment #DataAnalytics,0,2,1,1,0,0,0,0,1
86,Have a look at this video for some tips and tricks to improve your productivity. These shortcuts will help you code faster and smarter in Python in just 5 minutes.,0,11,8,3,0,0,0,0,8
87,"Exploratory Data Analysis (EDA) is a vital part of any data science project, but to do basic data analysis can be very time-consuming.  What if it could all be done by using one command?  Good news!  ""The Pandas Profiling function extends the pandas DataFrame with df.profile_report() for quick data analysis. It displays a lot of information with a single line of code and that too in an interactive HTML report.""  This article provides information regarding this as well as a few other tips and tricks.   Go try it out!  https://thenextweb.com/syndication/2020/10/12/10-simple-python-tips-to-speed-up-your-data-analysis/  #datascience #python #DataAnalysis #MachineLearning",0,3,2,1,0,0,0,0,2
88,Would you like to be able to know someone’s inner emotions when they are not showing any?  A novel artificial intelligence approach uses radio waves to measure heart rate and breathing so we can discern the emotional state of a person without the use of any visual cues.  https://techxplore.com/news/2021-02-scientists-emotions-wireless.html  #datascience #machinelearning #artificialintelligence,0,9,8,1,0,0,0,0,8
89,"Interpolation is the process of estimating an unknown value that falls between known values. In machine learning, this can be done by fitting a model to data and then using the fitted model to estimate the unknown value based on the model inputs. The machine learning approach can sometimes be overkill for simple cases or might not work when we do not have a rich dataset. In these cases, we can turn to conventional interpolation methods such as cubic or linear interpolation. This blog post dives into the application of various conventional interpolation methods.  #machinelearning #datascience",0,5,4,1,0,0,0,0,4
90,Have a look at this great visual display that indicates the main difference between Machine Learning and Deep Learning.   Read more about this: https://bigdatapath.wordpress.com/2019/09/13/ai-vs-machine-learning-vs-deep-learning-whats-the-difference/  #machinelearning #datascience #deeplearning #ArtificialIntelligence,0,13,11,2,0,0,0,0,11
91,The power of AI - Do you want to be introduced to Machine Learning and Deep Learning?  Here it is presented in a fun and interactive way.  https://www.mckinsey.com/business-functions/mckinsey-analytics/our-insights/an-executives-guide-to-ai  #datascience #artificalintelligence #machinelearning #deeplearning,0,7,5,2,0,0,0,0,5
92,It is Friday and time for our last post on SQL.   SQLTutorial is an excellent resource to add to your list and go have a look at the free downloadable SQL Cheat Sheet on their website.  It can also be downloaded from the Explore Data Science Academy LinkedIn page.,0,6,5,1,0,0,0,0,5
93,"Continuing with this week’s theme on SQL. Have a look at this article that covers the importance of SQL, a list of resources to learn SQL as well as the best SQL Query practice platforms. Which platforms have you found the best to practice your SQL skills?  https://towardsdatascience.com/everything-that-needs-to-master-sql-skills-for-data-science-dca851995b8d  #datascience #sql ##DataAnalytics #learning",0,13,12,1,0,0,0,0,12
94,Did you know that you can do machine learning with SQL?  The blog takes you through the steps of creating a Linear Regression Model in SQL using the least squares regression formula. http://www.silota.com/docs/recipes/sql-linear-regression.html,0,4,2,2,0,0,0,0,2
95,"Keen to learning SQL by solving a murder mystery?  ""The SQL Murder Mystery is designed to be both a self-directed lesson to learn SQL concepts and commands and a fun game for experienced SQL users to solve an intriguing crime.""",0,7,6,1,0,0,0,0,6
96,"Keep an eye on this week's posts.  The focus will be SQL. To kick this week off, have a look at this blog post on SQL Server query optimization techniques with examples of things to avoid and how to improve performance.",0,9,8,1,0,0,0,0,8
97,"Do you want to plot data in Python?  You will have numerous libraries to choose from, and it can be difficult to decide which one is the best for your data. In this blog post 6 different libraries are used to create a bar graph.",0,8,7,1,0,0,0,0,7
98,"A blog post highlighting 50 different plotting examples in Python - with code. The blog post covers a broad set of scenarios including correlation, deviation, ranking, distribution and composition plots.",0,4,3,1,0,0,0,0,3
99,"Make 2021 count. Learn what matters. Register now for our fully immersive, online Data Science Programme.  https://www.youtube.com/watch?v=tCkwnPur7jA",1,8,7,1,0,0,0,0,7
100,Register now for our cutting edge Data Science Programme. Online. Starting 18 Jan 2021.  https://www.youtube.com/watch?v=tCkwnPur7jA&feature=emb_imp_woyt,1,4,3,1,0,0,0,0,3
101,Watch our Introduction to Data Science Course built for Executives and Managers.  https://youtu.be/afH3puS7OYQ,3,10,7,3,0,0,0,0,7
